category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,failedStringDecoding,isMaybePascalString,failedPascalStringDecoding,referenceCounter,parentFunction,parentFileName,inFileOffset,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,accessedAsGpRel,firstLoAccess,isAutogeneratedPad,autoCreatedPadMainSymbol,isElfNotype,isAutocreatedSymFromOtherSizedSym,isMips1Double,visibility
symbol,0x800001A0,leoBootID,leoBootID,None,u32,None,u32,None,0x4,None,0x4,0x0,,True,True,False,False,False,False,False,0,None,None,None,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x80000300,osTvType,osTvType,None,u32,None,u32,None,0x4,None,0x4,0x0,,True,True,False,False,False,False,False,0,None,None,None,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x80000304,osRomType,osRomType,None,u32,None,u32,None,0x4,None,0x4,0x0,,True,True,False,False,False,False,False,0,None,None,None,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x80000308,osRomBase,osRomBase,None,u32,None,u32,None,0x4,None,0x4,0x0,,True,True,False,False,False,False,False,0,None,None,None,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8000030C,osResetType,osResetType,None,u32,None,u32,None,0x4,None,0x4,0x0,,True,True,False,False,False,False,False,0,None,None,None,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x80000310,osCicId,osCicId,None,u32,None,u32,None,0x4,None,0x4,0x0,,True,True,False,False,False,False,False,0,None,None,None,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x80000314,osVersion,osVersion,None,u32,None,u32,None,0x4,None,0x4,0x0,,True,True,False,False,False,False,False,0,None,None,None,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x80000318,osMemSize,osMemSize,None,u32,None,u32,None,0x4,None,0x4,0x0,,True,True,False,False,False,False,False,0,None,None,None,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8000031C,osAppNMIBuffer,osAppNMIBuffer,None,u8,None,u8,None,0x40,None,0x40,0x0,,True,True,False,False,False,False,False,0,None,None,None,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x80000400,None,func_80000400,None,None,SymbolSpecialType.function,@function,None,None,0x60,0x60,0x1000,.text,True,False,True,False,False,False,False,0,None,entry,0,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x80000410,None,.L80000410,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x1010,.text,True,False,True,False,False,False,False,1,func_80000400,entry,None,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x80000460,None,func_80000460,None,None,SymbolSpecialType.function,@function,None,None,0xC,0xC,0x1060,.text,True,False,True,False,False,False,False,2,None,sys/main,0,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8000046C,None,func_8000046C,None,None,SymbolSpecialType.function,@function,None,None,0xC,0xC,0x106C,.text,True,False,True,False,False,False,False,0,None,sys/main,12,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x80000478,None,func_80000478,None,None,SymbolSpecialType.function,@function,None,None,0x8,0x8,0x1078,.text,True,False,True,False,False,False,False,0,None,sys/main,24,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x80000480,None,func_80000480,None,None,SymbolSpecialType.function,@function,None,None,0x30,0x30,0x1080,.text,True,False,True,False,False,False,False,1,None,sys/main,32,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x800004A0,None,.L800004A0,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x10A0,.text,True,False,True,False,False,False,False,1,func_80000480,sys/main,None,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x800004B0,None,func_800004B0,None,None,SymbolSpecialType.function,@function,None,None,0x30,0x30,0x10B0,.text,True,False,True,False,False,False,False,1,None,sys/main,80,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x800004D0,None,.L800004D0,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x10D0,.text,True,False,True,False,False,False,False,1,func_800004B0,sys/main,None,None,False,False,False,False,None,False,None,False,,False,False,False,None
