category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,failedStringDecoding,isMaybePascalString,failedPascalStringDecoding,referenceCounter,parentFunction,parentFileName,inFileOffset,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,accessedAsGpRel,firstLoAccess,isAutogeneratedPad,autoCreatedPadMainSymbol,isElfNotype,isAutocreatedSymFromOtherSizedSym,isMips1Double,visibility
symbol,0x801DC8C0,None,func_camera_check_801DC8C0,None,None,SymbolSpecialType.function,@function,None,None,0x10,0x10,0x87A0B0,.text,True,False,True,False,False,False,False,0,None,87A0B0,0,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC8D0,None,func_camera_check_801DC8D0,None,None,SymbolSpecialType.function,@function,None,None,0x40,0x40,0x87A0C0,.text,True,False,True,False,False,False,False,1,None,87A0B0,16,level,False,False,False,False,None,False,20,False,,False,False,False,None
symbol,0x801DC8DC,None,.Lcamera_check_801DC8DC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x87A0CC,.text,True,False,True,False,False,False,False,1,func_camera_check_801DC8D0,87A0B0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC910,None,func_camera_check_801DC910,None,None,SymbolSpecialType.function,@function,None,None,0x150,0x150,0x87A100,.text,True,False,True,False,False,False,False,1,None,87A0B0,80,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCA60,None,func_camera_check_801DCA60,None,None,SymbolSpecialType.function,@function,None,None,0x6C,0x6C,0x87A250,.text,True,False,True,False,False,False,False,0,None,87A0B0,416,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCACC,None,func_camera_check_801DCACC,None,None,SymbolSpecialType.function,@function,None,None,0x64,0x64,0x87A2BC,.text,True,False,True,False,False,False,False,0,None,87A0B0,524,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCB40,None,func_camera_check_801DCB40,None,None,SymbolSpecialType.function,@function,None,None,0xC,0xC,0x87A330,.text,True,False,True,False,False,False,False,79,None,87A330,0,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCB4C,None,func_camera_check_801DCB4C,None,None,SymbolSpecialType.function,@function,None,None,0xC,0xC,0x87A33C,.text,True,False,True,False,False,False,False,0,None,87A330,12,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCB58,None,func_camera_check_801DCB58,None,None,SymbolSpecialType.function,@function,None,None,0xB4,0xB4,0x87A348,.text,True,False,True,False,False,False,False,5,None,87A330,24,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCC0C,None,func_camera_check_801DCC0C,None,None,SymbolSpecialType.function,@function,None,None,0xF4,0xF4,0x87A3FC,.text,True,False,True,False,False,False,False,1,None,87A330,204,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCD00,None,func_camera_check_801DCD00,None,None,SymbolSpecialType.function,@function,None,None,0x29C,0x29C,0x87A4F0,.text,True,False,True,False,False,False,False,1,None,87A330,448,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCDAC,None,.Lcamera_check_801DCDAC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x87A59C,.text,True,False,True,False,False,False,False,1,func_camera_check_801DCD00,87A330,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCDC4,None,.Lcamera_check_801DCDC4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x87A5B4,.text,True,False,True,False,False,False,False,2,func_camera_check_801DCD00,87A330,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCDF8,None,.Lcamera_check_801DCDF8,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x87A5E8,.text,True,False,True,False,False,False,False,1,func_camera_check_801DCD00,87A330,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCE10,None,.Lcamera_check_801DCE10,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x87A600,.text,True,False,True,False,False,False,False,2,func_camera_check_801DCD00,87A330,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCE3C,None,.Lcamera_check_801DCE3C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x87A62C,.text,True,False,True,False,False,False,False,1,func_camera_check_801DCD00,87A330,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
