category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,failedStringDecoding,isMaybePascalString,failedPascalStringDecoding,referenceCounter,parentFunction,parentFileName,inFileOffset,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,accessedAsGpRel,firstLoAccess,isAutogeneratedPad,autoCreatedPadMainSymbol,isElfNotype,isAutocreatedSymFromOtherSizedSym,isMips1Double,visibility
symbol,0x801DC8A0,None,func_credits_801DC8A0,None,None,SymbolSpecialType.function,@function,None,None,0x24,0x24,0xA93460,.text,True,False,True,False,False,False,False,0,None,A93460,0,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC8C4,None,func_credits_801DC8C4,None,None,SymbolSpecialType.function,@function,None,None,0x138,0x138,0xA93484,.text,True,False,True,False,False,False,False,0,None,A93460,36,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC8FC,None,.Lcredits_801DC8FC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0xA934BC,.text,True,False,True,False,False,False,False,1,func_credits_801DC8C4,A93460,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC904,None,.Lcredits_801DC904,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0xA934C4,.text,True,False,True,False,False,False,False,1,func_credits_801DC8C4,A93460,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC9FC,None,func_credits_801DC9FC,None,None,SymbolSpecialType.function,@function,None,None,0x20,0x20,0xA935BC,.text,True,False,True,False,False,False,False,0,None,A93460,348,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCA1C,None,func_credits_801DCA1C,None,None,SymbolSpecialType.function,@function,None,None,0xDC,0xDC,0xA935DC,.text,True,False,True,False,False,False,False,1,None,A93460,380,level,False,False,False,False,None,False,112,False,,False,False,False,None
symbol,0x801DCA44,None,.Lcredits_801DCA44,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0xA93604,.text,True,False,True,False,False,False,False,1,func_credits_801DCA1C,A93460,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCA80,None,.Lcredits_801DCA80,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0xA93640,.text,True,False,True,False,False,False,False,1,func_credits_801DCA1C,A93460,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCAF8,None,func_credits_801DCAF8,None,None,SymbolSpecialType.function,@function,None,None,0x2C,0x2C,0xA936B8,.text,True,False,True,False,False,False,False,1,None,A93460,600,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCB24,None,func_credits_801DCB24,None,None,SymbolSpecialType.function,@function,None,None,0xCC,0xCC,0xA936E4,.text,True,False,True,False,False,False,False,0,None,A93460,644,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DCC00,None,func_credits_801DCC00,None,None,SymbolSpecialType.function,@function,None,None,0x70,0x70,0xA937C0,.text,True,False,True,False,False,False,False,4,None,A937C0,0,level,False,False,False,False,None,False,None,False,,False,False,False,None
