category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,failedStringDecoding,isMaybePascalString,failedPascalStringDecoding,referenceCounter,parentFunction,parentFileName,inFileOffset,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,accessedAsGpRel,firstLoAccess,isAutogeneratedPad,autoCreatedPadMainSymbol,isElfNotype,isAutocreatedSymFromOtherSizedSym,isMips1Double,visibility
symbol,0x800E18C0,None,func_800E18C0_8A70E0,None,None,SymbolSpecialType.function,@function,None,None,0x10,0x10,0x8A70E0,.text,True,False,True,False,False,False,False,0,None,8A70E0,0,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x800E18D0,None,func_800E18D0_8A70F0,None,None,SymbolSpecialType.function,@function,None,None,0x40,0x40,0x8A70F0,.text,True,False,True,False,False,False,False,1,None,8A70E0,16,level,False,False,False,False,None,False,20,False,,False,False,False,None
symbol,0x800E18DC,None,.L800E18DC_8A70FC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x8A70FC,.text,True,False,True,False,False,False,False,1,func_800E18D0_8A70F0,8A70E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x800E1910,None,func_800E1910_8A7130,None,None,SymbolSpecialType.function,@function,None,None,0x150,0x150,0x8A7130,.text,True,False,True,False,False,False,False,1,None,8A70E0,80,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x800E1A60,None,func_800E1A60_8A7280,None,None,SymbolSpecialType.function,@function,None,None,0x78,0x78,0x8A7280,.text,True,False,True,False,False,False,False,0,None,8A70E0,416,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x800E1AD8,None,func_800E1AD8_8A72F8,None,None,SymbolSpecialType.function,@function,None,None,0x68,0x68,0x8A72F8,.text,True,False,True,False,False,False,False,0,None,8A70E0,536,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x800E1B40,None,func_800E1B40_8A7360,None,None,SymbolSpecialType.function,@function,None,None,0xC,0xC,0x8A7360,.text,True,False,True,False,False,False,False,48,None,8A7360,0,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x800E1B4C,None,func_800E1B4C_8A736C,None,None,SymbolSpecialType.function,@function,None,None,0xC,0xC,0x8A736C,.text,True,False,True,False,False,False,False,4,None,8A7360,12,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x800E1B58,None,func_800E1B58_8A7378,None,None,SymbolSpecialType.function,@function,None,None,0x9C,0x9C,0x8A7378,.text,True,False,True,False,False,False,False,5,None,8A7360,24,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x800E1BF4,None,func_800E1BF4_8A7414,None,None,SymbolSpecialType.function,@function,None,None,0x24,0x24,0x8A7414,.text,True,False,True,False,False,False,False,2,None,8A7360,180,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x800E1C18,None,func_800E1C18_8A7438,None,None,SymbolSpecialType.function,@function,None,None,0x88,0x88,0x8A7438,.text,True,False,True,False,False,False,False,3,None,8A7360,216,level,False,False,False,False,None,False,None,False,,False,False,False,None
