category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,failedStringDecoding,isMaybePascalString,failedPascalStringDecoding,referenceCounter,parentFunction,parentFileName,inFileOffset,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,accessedAsGpRel,firstLoAccess,isAutogeneratedPad,autoCreatedPadMainSymbol,isElfNotype,isAutocreatedSymFromOtherSizedSym,isMips1Double,visibility
symbol,0x802D8800,None,func_802D8800_6C05E0,None,None,SymbolSpecialType.function,@function,None,None,0x24,0x24,0x6C05E0,.text,True,False,True,False,False,False,False,2,None,6C05E0,0,level,False,False,False,False,None,False,40,False,,False,False,False,None
symbol,0x802D8824,None,func_802D8824_6C0604,None,None,SymbolSpecialType.function,@function,None,None,0x24,0x24,0x6C0604,.text,True,False,True,False,False,False,False,1,None,6C05E0,36,level,False,False,False,False,None,False,32,False,,False,False,False,None
symbol,0x802D8848,None,func_802D8848_6C0628,None,None,SymbolSpecialType.function,@function,None,None,0x24,0x24,0x6C0628,.text,True,False,True,False,False,False,False,1,None,6C05E0,72,level,False,False,False,False,None,False,36,False,,False,False,False,None
symbol,0x802D886C,None,func_802D886C_6C064C,None,None,SymbolSpecialType.function,@function,None,None,0x8C,0x8C,0x6C064C,.text,True,False,True,False,False,False,False,1,None,6C05E0,108,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D88F8,None,func_802D88F8_6C06D8,None,None,SymbolSpecialType.function,@function,None,None,0x64,0x64,0x6C06D8,.text,True,False,True,False,False,False,False,2,None,6C05E0,248,level,False,False,False,False,None,False,256,False,,False,False,False,None
symbol,0x802D895C,None,func_802D895C_6C073C,None,None,SymbolSpecialType.function,@function,None,None,0x50,0x50,0x6C073C,.text,True,False,True,False,False,False,False,1,None,6C05E0,348,level,False,False,False,False,None,False,120,False,,False,False,False,None
symbol,0x802D8984,None,.L802D8984_6C0764,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C0764,.text,True,False,True,False,False,False,False,1,func_802D895C_6C073C,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D899C,None,.L802D899C_6C077C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C077C,.text,True,False,True,False,False,False,False,1,func_802D895C_6C073C,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D89AC,None,func_802D89AC_6C078C,None,None,SymbolSpecialType.function,@function,None,None,0x8,0x8,0x6C078C,.text,True,False,True,False,False,False,False,1,None,6C05E0,428,level,False,False,False,False,None,False,268,False,,False,False,False,None
symbol,0x802D89B4,None,func_802D89B4_6C0794,None,None,SymbolSpecialType.function,@function,None,None,0x94,0x94,0x6C0794,.text,True,False,True,False,False,False,False,1,None,6C05E0,436,level,False,False,False,False,None,False,228,False,,False,False,False,None
symbol,0x802D8A30,None,.L802D8A30_6C0810,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C0810,.text,True,False,True,False,False,False,False,1,func_802D89B4_6C0794,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D8A38,None,.L802D8A38_6C0818,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C0818,.text,True,False,True,False,False,False,False,1,func_802D89B4_6C0794,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D8A3C,None,.L802D8A3C_6C081C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C081C,.text,True,False,True,False,False,False,False,1,func_802D89B4_6C0794,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D8A48,None,func_802D8A48_6C0828,None,None,SymbolSpecialType.function,@function,None,None,0xEC,0xEC,0x6C0828,.text,True,False,True,False,False,False,False,1,None,6C05E0,584,level,False,False,False,False,None,False,276,False,,False,False,False,None
symbol,0x802D8B34,None,func_802D8B34_6C0914,None,None,SymbolSpecialType.function,@function,None,None,0xF0,0xF0,0x6C0914,.text,True,False,True,False,False,False,False,1,None,6C05E0,820,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D8C24,None,func_802D8C24_6C0A04,None,None,SymbolSpecialType.function,@function,None,None,0xCC,0xCC,0x6C0A04,.text,True,False,True,False,False,False,False,0,None,6C05E0,1060,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D8CF0,None,func_802D8CF0_6C0AD0,None,None,SymbolSpecialType.function,@function,None,None,0xD4,0xD4,0x6C0AD0,.text,True,False,True,False,False,False,False,0,None,6C05E0,1264,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D8DC4,None,func_802D8DC4_6C0BA4,None,None,SymbolSpecialType.function,@function,None,None,0xD4,0xD4,0x6C0BA4,.text,True,False,True,False,False,False,False,0,None,6C05E0,1476,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D8E98,None,func_802D8E98_6C0C78,None,None,SymbolSpecialType.function,@function,None,None,0x134,0x134,0x6C0C78,.text,True,False,True,False,False,False,False,1,None,6C05E0,1688,level,False,False,False,False,None,False,212,False,,False,False,False,None
symbol,0x802D8EDC,None,.L802D8EDC_6C0CBC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C0CBC,.text,True,False,True,False,False,False,False,1,func_802D8E98_6C0C78,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D8F80,None,.L802D8F80_6C0D60,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C0D60,.text,True,False,True,False,False,False,False,1,func_802D8E98_6C0C78,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D8FA0,None,.L802D8FA0_6C0D80,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C0D80,.text,True,False,True,False,False,False,False,1,func_802D8E98_6C0C78,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D8FBC,None,.L802D8FBC_6C0D9C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C0D9C,.text,True,False,True,False,False,False,False,1,func_802D8E98_6C0C78,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D8FC0,None,.L802D8FC0_6C0DA0,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C0DA0,.text,True,False,True,False,False,False,False,7,func_802D8E98_6C0C78,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D8FCC,None,func_802D8FCC_6C0DAC,None,None,SymbolSpecialType.function,@function,None,None,0xEC,0xEC,0x6C0DAC,.text,True,False,True,False,False,False,False,1,None,6C05E0,1996,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D9020,None,.L802D9020_6C0E00,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C0E00,.text,True,False,True,False,False,False,False,2,func_802D8FCC_6C0DAC,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D906C,None,.L802D906C_6C0E4C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C0E4C,.text,True,False,True,False,False,False,False,2,func_802D8FCC_6C0DAC,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D90B8,None,func_802D90B8_6C0E98,None,None,SymbolSpecialType.function,@function,None,None,0x150,0x150,0x6C0E98,.text,True,False,True,False,False,False,False,0,None,6C05E0,2232,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D90F8,None,.L802D90F8_6C0ED8,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C0ED8,.text,True,False,True,False,False,False,False,1,func_802D90B8_6C0E98,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D9208,None,func_802D9208_6C0FE8,None,None,SymbolSpecialType.function,@function,None,None,0x8,0x8,0x6C0FE8,.text,True,False,True,False,False,False,False,0,None,6C05E0,2568,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D9210,None,func_802D9210_6C0FF0,None,None,SymbolSpecialType.function,@function,None,None,0xA0,0xA0,0x6C0FF0,.text,True,False,True,False,False,False,False,0,None,6C05E0,2576,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D9274,None,.L802D9274_6C1054,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C1054,.text,True,False,True,False,False,False,False,1,func_802D9210_6C0FF0,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D928C,None,.L802D928C_6C106C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C106C,.text,True,False,True,False,False,False,False,1,func_802D9210_6C0FF0,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D9298,None,.L802D9298_6C1078,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C1078,.text,True,False,True,False,False,False,False,2,func_802D9210_6C0FF0,6C05E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D92B0,None,func_802D92B0_6C1090,None,None,SymbolSpecialType.function,@function,None,None,0x270,0x270,0x6C1090,.text,True,False,True,False,False,False,False,1,None,6C1090,0,level,False,False,False,False,None,False,224,False,,False,False,False,None
symbol,0x802D92E4,None,.L802D92E4_6C10C4,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x6C10C4,.text,True,False,True,False,False,False,False,1,func_802D92B0_6C1090,6C1090,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D9340,None,.L802D9340_6C1120,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x6C1120,.text,True,False,True,False,False,False,False,1,func_802D92B0_6C1090,6C1090,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D9378,None,.L802D9378_6C1158,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x6C1158,.text,True,False,True,False,False,False,False,1,func_802D92B0_6C1090,6C1090,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D93B4,None,.L802D93B4_6C1194,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x6C1194,.text,True,False,True,False,False,False,False,1,func_802D92B0_6C1090,6C1090,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D93F4,None,.L802D93F4_6C11D4,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x6C11D4,.text,True,False,True,False,False,False,False,1,func_802D92B0_6C1090,6C1090,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D94B8,None,.L802D94B8_6C1298,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C1298,.text,True,False,True,False,False,False,False,2,func_802D92B0_6C1090,6C1090,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D94C4,None,.L802D94C4_6C12A4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C12A4,.text,True,False,True,False,False,False,False,1,func_802D92B0_6C1090,6C1090,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D94D0,None,.L802D94D0_6C12B0,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C12B0,.text,True,False,True,False,False,False,False,2,func_802D92B0_6C1090,6C1090,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D94E4,None,.L802D94E4_6C12C4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C12C4,.text,True,False,True,False,False,False,False,2,func_802D92B0_6C1090,6C1090,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D9510,None,.L802D9510_6C12F0,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x4,0x6C12F0,.text,True,False,True,False,False,False,False,6,func_802D92B0_6C1090,6C1090,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802D9514,None,.L802D9514_6C12F4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6C12F4,.text,True,False,True,False,False,False,False,6,func_802D92B0_6C1090,6C1090,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
