category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,failedStringDecoding,isMaybePascalString,failedPascalStringDecoding,referenceCounter,parentFunction,parentFileName,inFileOffset,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,accessedAsGpRel,firstLoAccess,isAutogeneratedPad,autoCreatedPadMainSymbol,isElfNotype,isAutocreatedSymFromOtherSizedSym,isMips1Double,visibility
symbol,0x801DC8A0,None,func_801DC8A0_AA18E0,None,None,SymbolSpecialType.function,@function,None,None,0x90,0x90,0xAA18E0,.text,True,False,True,False,False,False,False,3,None,AA18E0,0,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC8B4,None,.L801DC8B4_AA18F4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0xAA18F4,.text,True,False,True,False,False,False,False,1,func_801DC8A0_AA18E0,AA18E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC8BC,None,.L801DC8BC_AA18FC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0xAA18FC,.text,True,False,True,False,False,False,False,1,func_801DC8A0_AA18E0,AA18E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC8DC,None,.L801DC8DC_AA191C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0xAA191C,.text,True,False,True,False,False,False,False,1,func_801DC8A0_AA18E0,AA18E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC8F4,None,.L801DC8F4_AA1934,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0xAA1934,.text,True,False,True,False,False,False,False,1,func_801DC8A0_AA18E0,AA18E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC900,None,.L801DC900_AA1940,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0xAA1940,.text,True,False,True,False,False,False,False,1,func_801DC8A0_AA18E0,AA18E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC914,None,.L801DC914_AA1954,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0xAA1954,.text,True,False,True,False,False,False,False,1,func_801DC8A0_AA18E0,AA18E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC930,None,func_801DC930_AA1970,None,None,SymbolSpecialType.function,@function,None,None,0x8C,0x8C,0xAA1970,.text,True,False,True,False,False,False,False,1,None,AA18E0,144,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC960,None,.L801DC960_AA19A0,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0xAA19A0,.text,True,False,True,False,False,False,False,1,func_801DC930_AA1970,AA18E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC974,None,.L801DC974_AA19B4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0xAA19B4,.text,True,False,True,False,False,False,False,1,func_801DC930_AA1970,AA18E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC994,None,.L801DC994_AA19D4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0xAA19D4,.text,True,False,True,False,False,False,False,1,func_801DC930_AA1970,AA18E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801DC9AC,None,.L801DC9AC_AA19EC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0xAA19EC,.text,True,False,True,False,False,False,False,1,func_801DC930_AA1970,AA18E0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
