category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,failedStringDecoding,isMaybePascalString,failedPascalStringDecoding,referenceCounter,parentFunction,parentFileName,inFileOffset,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,accessedAsGpRel,firstLoAccess,isAutogeneratedPad,autoCreatedPadMainSymbol,isElfNotype,isAutocreatedSymFromOtherSizedSym,isMips1Double,visibility
symbol,0x802C5C20,None,func_802C5C20_79F1B0,None,None,SymbolSpecialType.function,@function,None,None,0x24,0x24,0x79F1B0,.text,True,False,True,False,False,False,False,2,None,79F1B0,0,level,False,False,False,False,None,False,40,False,,False,False,False,None
symbol,0x802C5C44,None,func_802C5C44_79F1D4,None,None,SymbolSpecialType.function,@function,None,None,0x24,0x24,0x79F1D4,.text,True,False,True,False,False,False,False,1,None,79F1B0,36,level,False,False,False,False,None,False,32,False,,False,False,False,None
symbol,0x802C5C68,None,func_802C5C68_79F1F8,None,None,SymbolSpecialType.function,@function,None,None,0x24,0x24,0x79F1F8,.text,True,False,True,False,False,False,False,1,None,79F1B0,72,level,False,False,False,False,None,False,36,False,,False,False,False,None
symbol,0x802C5C8C,None,func_802C5C8C_79F21C,None,None,SymbolSpecialType.function,@function,None,None,0x8C,0x8C,0x79F21C,.text,True,False,True,False,False,False,False,1,None,79F1B0,108,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802C5D18,None,func_802C5D18_79F2A8,None,None,SymbolSpecialType.function,@function,None,None,0x64,0x64,0x79F2A8,.text,True,False,True,False,False,False,False,2,None,79F1B0,248,level,False,False,False,False,None,False,256,False,,False,False,False,None
symbol,0x802C5D7C,None,func_802C5D7C_79F30C,None,None,SymbolSpecialType.function,@function,None,None,0x50,0x50,0x79F30C,.text,True,False,True,False,False,False,False,1,None,79F1B0,348,level,False,False,False,False,None,False,120,False,,False,False,False,None
symbol,0x802C5DC4,None,.L802C5DC4_79F354,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x79F354,.text,True,False,True,False,False,False,False,1,func_802C5D7C_79F30C,79F1B0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802C5DCC,None,func_802C5DCC_79F35C,None,None,SymbolSpecialType.function,@function,None,None,0x8,0x8,0x79F35C,.text,True,False,True,False,False,False,False,1,None,79F1B0,428,level,False,False,False,False,None,False,268,False,,False,False,False,None
symbol,0x802C5DD4,None,func_802C5DD4_79F364,None,None,SymbolSpecialType.function,@function,None,None,0x94,0x94,0x79F364,.text,True,False,True,False,False,False,False,1,None,79F1B0,436,level,False,False,False,False,None,False,228,False,,False,False,False,None
symbol,0x802C5E50,None,.L802C5E50_79F3E0,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x79F3E0,.text,True,False,True,False,False,False,False,1,func_802C5DD4_79F364,79F1B0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802C5E58,None,.L802C5E58_79F3E8,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x79F3E8,.text,True,False,True,False,False,False,False,1,func_802C5DD4_79F364,79F1B0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802C5E5C,None,.L802C5E5C_79F3EC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x79F3EC,.text,True,False,True,False,False,False,False,1,func_802C5DD4_79F364,79F1B0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802C5E68,None,func_802C5E68_79F3F8,None,None,SymbolSpecialType.function,@function,None,None,0x108,0x108,0x79F3F8,.text,True,False,True,False,False,False,False,0,None,79F1B0,584,level,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x802C5F2C,None,.L802C5F2C_79F4BC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x79F4BC,.text,True,False,True,False,False,False,False,1,func_802C5E68_79F3F8,79F1B0,None,level,False,False,False,False,None,False,None,False,,False,False,False,None
