category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,failedStringDecoding,isMaybePascalString,failedPascalStringDecoding,referenceCounter,parentFunction,parentFileName,inFileOffset,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,accessedAsGpRel,firstLoAccess,isAutogeneratedPad,autoCreatedPadMainSymbol,isElfNotype,isAutocreatedSymFromOtherSizedSym,isMips1Double,visibility
symbol,0x8019AEE0,psyduck_hd_vtx,psyduck_hd_vtx,None,None,None,,None,0x18B0,None,0x18B0,0x30AF90,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,0,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019C790,None,D_8019C790_30C840,None,None,None,,None,None,None,0x4,0x30C840,.data,True,False,True,False,False,False,False,0,None,psyduck/model_hd,6320,unk30AF90,False,False,False,False,None,False,None,True,,False,False,False,None
symbol,0x8019C8A0,psyduck_hd_first,psyduck_hd_first,None,None,None,,None,None,None,0x4,0x30C950,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,6592,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019C8C8,psyduck_hd_part0_draw,psyduck_hd_part0_draw,None,None,None,,None,None,None,0x4,0x30C978,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,6632,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019CA88,psyduck_hd_part1_pre,psyduck_hd_part1_pre,None,None,None,,None,None,None,0x4,0x30CB38,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,7080,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019CAC8,psyduck_hd_part1_draw,psyduck_hd_part1_draw,None,None,None,,None,None,None,0x4,0x30CB78,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,7144,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019CB68,psyduck_hd_part2_draw,psyduck_hd_part2_draw,None,None,None,,None,None,None,0x4,0x30CC18,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,7304,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019CBE0,psyduck_hd_part3_draw,psyduck_hd_part3_draw,None,None,None,,None,None,None,0x4,0x30CC90,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,7424,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019CD08,psyduck_hd_part4_draw,psyduck_hd_part4_draw,None,None,None,,None,None,None,0x4,0x30CDB8,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,7720,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019CDC0,psyduck_hd_part5_pre,psyduck_hd_part5_pre,None,None,None,,None,None,None,0x4,0x30CE70,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,7904,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019CE20,psyduck_hd_part5_draw,psyduck_hd_part5_draw,None,None,None,,None,None,None,0x4,0x30CED0,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,8000,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019CFF8,psyduck_hd_part6_pre,psyduck_hd_part6_pre,None,None,None,,None,None,None,0x4,0x30D0A8,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,8472,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019D050,psyduck_hd_part6_draw,psyduck_hd_part6_draw,None,None,None,,None,None,None,0x4,0x30D100,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,8560,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019D418,psyduck_hd_part7_draw,psyduck_hd_part7_draw,None,None,None,,None,None,None,0x4,0x30D4C8,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,9528,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019D4B0,psyduck_hd_part8_draw,psyduck_hd_part8_draw,None,None,None,,None,None,None,0x4,0x30D560,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,9680,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019D7D8,psyduck_hd_part9_draw,psyduck_hd_part9_draw,None,None,None,,None,None,None,0x4,0x30D888,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,10488,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019D928,psyduck_hd_part10_pre,psyduck_hd_part10_pre,None,None,None,,None,None,None,0x4,0x30D9D8,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,10824,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019D978,psyduck_hd_part10_draw,psyduck_hd_part10_draw,None,None,None,,None,None,None,0x4,0x30DA28,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,10904,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DA30,psyduck_hd_part11_draw,psyduck_hd_part11_draw,None,None,None,,None,None,None,0x4,0x30DAE0,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,11088,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DAD0,psyduck_hd_part12_draw,psyduck_hd_part12_draw,None,None,None,,None,None,None,0x4,0x30DB80,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,11248,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DBB0,psyduck_hd_part13_pre,psyduck_hd_part13_pre,None,None,None,,None,None,None,0x4,0x30DC60,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,11472,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DBF8,psyduck_hd_part13_draw,psyduck_hd_part13_draw,None,None,None,,None,None,None,0x4,0x30DCA8,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,11544,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DCB0,psyduck_hd_part14_draw,psyduck_hd_part14_draw,None,None,None,,None,None,None,0x4,0x30DD60,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,11728,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DD50,psyduck_hd_part15_draw,psyduck_hd_part15_draw,None,None,None,,None,None,None,0x4,0x30DE00,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,11888,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DE30,psyduck_hd_gfxdata,psyduck_hd_gfxdata,None,None,None,,None,None,None,0x4,0x30DEE0,.data,True,True,False,False,False,False,False,0,None,psyduck/model_hd,12112,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DE38,None,D_8019DE38_30DEE8,None,None,None,,None,None,None,0x4,0x30DEE8,.data,True,False,True,False,False,False,False,0,None,psyduck/model_hd,12120,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DE40,None,D_8019DE40_30DEF0,None,None,None,,None,None,None,0x4,0x30DEF0,.data,True,False,True,False,False,False,False,0,None,psyduck/model_hd,12128,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DE48,None,D_8019DE48_30DEF8,None,None,None,,None,None,None,0x4,0x30DEF8,.data,True,False,True,False,False,False,False,0,None,psyduck/model_hd,12136,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DE50,None,D_8019DE50_30DF00,None,None,None,,None,None,None,0x4,0x30DF00,.data,True,False,True,False,False,False,False,0,None,psyduck/model_hd,12144,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DE58,None,D_8019DE58_30DF08,None,None,None,,None,None,None,0x4,0x30DF08,.data,True,False,True,False,False,False,False,0,None,psyduck/model_hd,12152,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DE60,None,D_8019DE60_30DF10,None,None,None,,None,None,None,0x4,0x30DF10,.data,True,False,True,False,False,False,False,0,None,psyduck/model_hd,12160,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DE68,None,D_8019DE68_30DF18,None,None,None,,None,None,None,0x4,0x30DF18,.data,True,False,True,False,False,False,False,0,None,psyduck/model_hd,12168,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DE70,None,D_8019DE70_30DF20,None,None,None,,None,None,None,0x4,0x30DF20,.data,True,False,True,False,False,False,False,0,None,psyduck/model_hd,12176,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8019DE78,None,D_8019DE78_30DF28,None,None,None,,None,None,None,0x4,0x30DF28,.data,True,False,True,False,False,False,False,0,None,psyduck/model_hd,12184,unk30AF90,False,False,False,False,None,False,None,False,,False,False,False,None
