category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,failedStringDecoding,isMaybePascalString,failedPascalStringDecoding,referenceCounter,parentFunction,parentFileName,inFileOffset,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,accessedAsGpRel,firstLoAccess,isAutogeneratedPad,autoCreatedPadMainSymbol,isElfNotype,isAutocreatedSymFromOtherSizedSym,isMips1Double,visibility
symbol,0x8011B050,None,func_8011B050_A74E0,None,None,SymbolSpecialType.function,@function,None,None,0x10,0x10,0xA74E0,.text,True,False,True,False,False,False,False,0,None,A74E0,0,unk8011B050,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8011B914,None,D_8011B914_A7DA4,None,None,None,,None,None,None,0x4,0x0,,False,False,True,False,False,False,False,1,None,None,None,unk8011B050,False,False,False,False,None,False,64,False,,False,False,False,None
symbol,0x8011B924,None,D_8011B924_A7DB4,None,None,None,f32,FLOAT,None,None,0x4,0x0,,False,False,True,False,False,False,False,1,None,None,None,unk8011B050,False,False,False,False,None,False,220,False,,False,False,False,None
symbol,0x80136AC0,None,D_80136AC0_C2F50,None,None,None,,None,None,None,0x4,0x0,,False,False,True,False,False,False,False,0,None,None,None,unk8011B050,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x80138C50,None,D_80138C50_C50E0,None,None,None,,None,None,None,0x4,0x0,,False,False,True,False,False,False,False,0,None,None,None,unk8011B050,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x801397C0,None,D_801397C0_C5C50,None,None,None,,None,None,None,0x4,0x0,,False,False,True,False,False,False,False,0,None,None,None,unk8011B050,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x80139A40,None,D_80139A40_C5ED0,None,None,None,,None,None,None,0x4,0x0,,False,False,True,False,False,False,False,0,None,None,None,unk8011B050,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x80139CD0,None,D_80139CD0_C6160,None,None,None,,None,None,None,0x4,0x0,,False,False,True,False,False,False,False,0,None,None,None,unk8011B050,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8013ACA0,None,D_8013ACA0_C7130,None,None,None,,None,None,None,0x4,0x0,,False,False,True,False,False,False,False,0,None,None,None,unk8011B050,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x8013B030,None,D_8013B030_C74C0,None,None,None,,None,None,None,0x4,0x0,,False,False,True,False,False,False,False,1,None,None,None,unk8011B050,False,False,False,False,None,False,280,False,,False,False,False,None
symbol,0x8013BAA0,None,D_8013BAA0_C7F30,None,None,None,,None,None,None,0x4,0x0,,False,False,True,False,False,False,False,1,None,None,None,unk8011B050,False,False,False,False,None,False,276,False,,False,False,False,None
symbol,0x8013C530,None,D_8013C530_C89C0,None,None,None,,None,None,None,0x4,0x0,,False,False,True,False,False,False,False,1,None,None,None,unk8011B050,False,False,False,False,None,False,168,False,,False,False,False,None
symbol,0x8013C580,None,D_8013C580_C8A10,None,None,None,,None,None,None,0x4,0x0,,False,False,True,False,False,False,False,1,None,None,None,unk8011B050,False,False,False,False,None,False,212,False,,False,False,False,None
