category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,failedStringDecoding,isMaybePascalString,failedPascalStringDecoding,referenceCounter,parentFunction,parentFileName,inFileOffset,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,accessedAsGpRel,firstLoAccess,isAutogeneratedPad,autoCreatedPadMainSymbol,isElfNotype,isAutocreatedSymFromOtherSizedSym,isMips1Double,visibility
symbol,0x803AA700,zubat_hd_vtx,zubat_hd_vtx,None,None,None,,None,0x16E0,None,0x16E0,0x837360,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,0,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803ABDE0,zubat_hd_first,zubat_hd_first,None,None,None,,None,None,None,0x4,0x838A40,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,5856,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803ABE08,zubat_hd_part0_draw,zubat_hd_part0_draw,None,None,None,,None,None,None,0x4,0x838A68,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,5896,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AC7A8,zubat_hd_part1_pre,zubat_hd_part1_pre,None,None,None,,None,None,None,0x4,0x839408,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,8360,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AC7E8,zubat_hd_part1_draw,zubat_hd_part1_draw,None,None,None,,None,None,None,0x4,0x839448,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,8424,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AC848,zubat_hd_part2_draw,zubat_hd_part2_draw,None,None,None,,None,None,None,0x4,0x8394A8,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,8520,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AC8A8,zubat_hd_part3_pre,zubat_hd_part3_pre,None,None,None,,None,None,None,0x4,0x839508,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,8616,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AC8E0,zubat_hd_part3_draw,zubat_hd_part3_draw,None,None,None,,None,None,None,0x4,0x839540,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,8672,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AC940,zubat_hd_part4_draw,zubat_hd_part4_draw,None,None,None,,None,None,None,0x4,0x8395A0,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,8768,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AC9A0,zubat_hd_part5_pre,zubat_hd_part5_pre,None,None,None,,None,None,None,0x4,0x839600,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,8864,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AC9E8,zubat_hd_part5_draw,zubat_hd_part5_draw,None,None,None,,None,None,None,0x4,0x839648,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,8936,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803ACB50,zubat_hd_part6_draw,zubat_hd_part6_draw,None,None,None,,None,None,None,0x4,0x8397B0,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,9296,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803ACC98,zubat_hd_part7_draw,zubat_hd_part7_draw,None,None,None,,None,None,None,0x4,0x8398F8,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,9624,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803ACE38,zubat_hd_part8_pre,zubat_hd_part8_pre,None,None,None,,None,None,None,0x4,0x839A98,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,10040,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803ACE90,zubat_hd_part8_draw,zubat_hd_part8_draw,None,None,None,,None,None,None,0x4,0x839AF0,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,10128,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803ACFE0,zubat_hd_part9_draw,zubat_hd_part9_draw,None,None,None,,None,None,None,0x4,0x839C40,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,10464,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AD128,zubat_hd_part10_draw,zubat_hd_part10_draw,None,None,None,,None,None,None,0x4,0x839D88,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,10792,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AD2E0,zubat_hd_gfxdata,zubat_hd_gfxdata,None,None,None,,None,None,None,0x4,0x839F40,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,11232,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AD2E8,None,D_803AD2E8_839F48,None,None,None,,None,None,None,0x4,0x839F48,.data,True,False,True,False,False,False,False,0,None,zubat/model_hd,11240,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AD2F0,None,D_803AD2F0_839F50,None,None,None,,None,None,None,0x4,0x839F50,.data,True,False,True,False,False,False,False,0,None,zubat/model_hd,11248,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AD2F8,None,D_803AD2F8_839F58,None,None,None,,None,None,None,0x4,0x839F58,.data,True,False,True,False,False,False,False,0,None,zubat/model_hd,11256,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AD300,None,D_803AD300_839F60,None,None,None,,None,None,None,0x4,0x839F60,.data,True,False,True,False,False,False,False,0,None,zubat/model_hd,11264,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AD308,None,D_803AD308_839F68,None,None,None,,None,None,None,0x4,0x839F68,.data,True,False,True,False,False,False,False,0,None,zubat/model_hd,11272,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AD310,None,D_803AD310_839F70,None,None,None,,None,None,None,0x4,0x839F70,.data,True,False,True,False,False,False,False,0,None,zubat/model_hd,11280,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AD318,None,D_803AD318_839F78,None,None,None,,None,None,None,0x4,0x839F78,.data,True,False,True,False,False,False,False,0,None,zubat/model_hd,11288,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AD320,None,D_803AD320_839F80,None,None,None,,None,None,None,0x4,0x839F80,.data,True,False,True,False,False,False,False,0,None,zubat/model_hd,11296,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AD328,None,D_803AD328_839F88,None,None,None,,None,None,None,0x4,0x839F88,.data,True,False,True,False,False,False,False,0,None,zubat/model_hd,11304,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AD330,None,D_803AD330_839F90,None,None,None,,None,None,None,0x4,0x839F90,.data,True,False,True,False,False,False,False,0,None,zubat/model_hd,11312,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AD338,zubat_hd_model,zubat_hd_model,None,None,None,,None,0x23C,None,0x23C,0x839F98,.data,True,True,False,False,False,False,False,0,None,zubat/model_hd,11320,unk837360,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x803AD574,None,D_803AD574_83A1D4,None,None,None,,None,None,None,0x4,0x83A1D4,.data,True,False,True,False,False,False,False,0,None,zubat/model_hd,11892,unk837360,False,False,False,False,None,False,None,True,,False,False,False,None
